id_hd,id_casi,x,y,creator,title,repType,keywordsall,Xnorm,L5
metadc100824,[],904.5863297472067,292.38180107184945,"Hubbartt, James E.",Average Outside-Surface Heat-Transfer Coefficients and Velocity Distributions for Heated and Cooled Impulse Turbine Blades in Static Cascades,RM,Aeronautics -- Research. Airplanes -- Turbojet engines. Airplanes -- Turbojet engines -- Blades.,98.0 100.0,3.7.2 3.9.1.1
metadc172432,[],18.382523495788647,915.2751396757104,"Hubbard, John D.",Aerodynamic Investigation of a Cup Anemometer,TN,anemometers aerodynamics,2.0,8.3
metadc172454,[],565.5535130765793,486.33494154333704,"Dryden, Hugh L.",Some Recent Contributions to the Study of Transition and Turbulent Boundary Layers,TN,laminar boundary layers aerodynamics turbulence,57.0 57.0 58.0 58.0 64.0 64.0 64.0 65.0,1.1.2.1 1.1.2.3 1.1.3.1 1.1.3.2 1.2.1.6 1.2.1.7 1.2.1.8 1.2.2.5
metadc172466,[],536.9319772019429,472.3718625846427,"Ivey, H. Reese",Considerations of the Total Drag of Supersonic Airfoil Sections,TN,airfoils drag characteristics,57.0 58.0 64.0,1.1.2.3 1.1.3 1.2.1
metadc172515,[],539.3623760872347,309.8410896145552,"Stalder, Jackson R.",A Comparison of Theory and Experiment for High-Speed Free-Molecule Flow,TR,Free molecular flow. Wind tunnel testing.,57.0 57.0 58.0 60.0 60.0,1.1.2 1.1.2.3 1.1.3.3 1.1.5 1.1.5.2
metadc277363,19930094756,662.4103088777817,973.6423764253417,"de Caria, Ugo",Airplane Flight in the Stratosphere,TM,lift characteristics drag characteristics aircraft wings,51.0 93.0,1.7.1.3 3.1.10
metadc277364,19930090871,340.41911909839285,1091.7157810648978,"Krell, O.",Contribution to the Technique of Landing Large Airships: Part 1,TM,aircraft landings large airplanes,37.0,1.7.5
metadc277365,19930084658,431.3602176215821,1297.966485940797,"Toussaint, A.",Lecture on Aerodynamics,TM,aerodynamics air resistance,88.0 68.0 82.0 35.0 36.0 11.0 8.0,1.1 1.3.2 1.5.1 1.7.6 1.8 9.1 9.2.2
metadc277366,19930094804,484.20052979701074,1019.3027737497048,"Kiel, Heinrich Georg","Static Longitudinal Stability Of ""Ente"" Airplanes",TM,aircraft stability Ente aircraft,51.0 54.0,1.7.1.2 1.8.1.1.1
metadc277367,19930083907,239.18500792338813,1314.098311321316,"Baldit, M. Albert",Atmospheric Waves and Their Utilization in Soaring Flight,TM,soaring flight aerodynamics,51.0 1.0,1.7.1.3 6.1.2
metadc277368,19930090796,593.7591861845833,1165.2893064236346,"Weidinger, Hanns",Drag Measurements on a Junkers Wing Section: Application of the Betz Method to the Results of Comparative Tests Made on a Model and on an Airplane in Flight,TM,drag characteristics aircraft wings,64.0 64.0 64.0,1.2.1.2.5 1.2.1.3 1.2.1.7
metadc277370,19930086252,615.8199432637077,1254.5875390904105,"Hirsch, P.",Motion of Spheres in Still Fluids,TM,motion of spheres liquid behavior,67.0,1.3.1
metadc277371,19930090843,863.1045925992278,1114.1812183293173,"Basu, Jatrindra Nath",Contribution to the Design and Calculation of Fuel Cams and Fuel Valves for Diesel Engines,TM,diesel engines fuel cams fuel valves,94.0 94.0,3.2.1.1 3.2.1.3
metadc277372,19930084033,101.20053592330869,1284.0825847181416,Robert,The new French high-speed wind tunnel,TM,wind tunnel testing aircraft testing,11.0,9.1.1
metadc277373,19930094840,640.9447941490732,1033.9469513733543,"Betz, A.",The Vortex Theory and Its Significance in Aviation,TM,vortex theory aerodynamics,88.0 56.0 65.0,1.1 1.1.1 1.2.2.1
metadc277375,19930086558,861.3533417448482,1275.840938125397,"Lehr, G.",Aviation Engines in the Endurance Contest,TM,aircraft engines aircraft competitions,93.0 93.0,3.1.1 3.1.11
metadc277376,19930094830,461.54537332024233,1067.8103346972805,"Blenk, Hermann",Göttingen Six-Component Scale Measurements on a Junkers A 35 Airplane Model,TM,Junkers A 35 aircraft measurements,51.0 51.0,1.7.1.1 1.7.1.2
