Tag,Count
administrative units,2
greetings & chants,2
lineage & family,2
chemistry & physics,3
events,3
historical periods,3
residents & emigrants,3
bushido,4
mineralogy,4
music,5
transportation,5
zoology,5
games,6
literature,6
characters & letters,7
medicine,8
monetary,8
weaponry,8
others,10
customs,11
commodities,12
measurments,12
nature,12
social systems,12
clothing & footwear,13
housing,14
botany,18
economy & business,20
culture,22
entertainment,22
religion,29
professions & status,33
arts & crafts,45
sports & martial arts,63
food & drink,78
