date,interest,topic
1930,2,geisha
1932,2,geisha
1933,1,geisha
1937,1,geisha
1951,1,geisha
1956,2,geisha
1957,1,geisha
1958,2,geisha
1961,1,geisha
1962,2,geisha
1963,1,geisha
1964,21,geisha
1970,8,geisha
1971,16,geisha
1972,25,geisha
1973,10,geisha
1974,11,geisha
1975,13,geisha
1976,21,geisha
1977,20,geisha
1978,18,geisha
1979,28,geisha
1981,6,geisha
1982,12,geisha
1983,16,geisha
1984,16,geisha
1985,23,geisha
1986,15,geisha
1987,13,geisha
1988,11,geisha
1989,40,geisha
1990,20,geisha
1991,11,geisha
1992,12,geisha
1993,11,geisha
1994,16,geisha
1995,11,geisha
1996,16,geisha
1997,29,geisha
1998,82,geisha
1999,90,geisha
2000,35,geisha
2001,32,geisha
2002,36,geisha
2003,36,geisha
2004,56,geisha
2005,117,geisha
2006,187,geisha
2007,40,geisha
2008,61,geisha
2009,47,geisha
2010,26,geisha
2011,42,geisha
2012,33,geisha
2013,34,geisha
2014,23,geisha
2015,26,geisha
2016,18,geisha
2017,26,geisha
2018,22,geisha
2019,18,geisha
1943,1,judo
1945,1,judo
1952,1,judo
1955,1,judo
1957,2,judo
1961,1,judo
1964,80,judo
1966,1,judo
1967,1,judo
1970,41,judo
1971,35,judo
1972,44,judo
1973,57,judo
1974,32,judo
1975,37,judo
1976,56,judo
1977,39,judo
1978,18,judo
1979,32,judo
1981,15,judo
1982,14,judo
1983,37,judo
1984,39,judo
1985,17,judo
1986,30,judo
1987,16,judo
1988,39,judo
1989,9,judo
1990,12,judo
1991,16,judo
1992,30,judo
1993,18,judo
1994,19,judo
1995,24,judo
1996,49,judo
1997,25,judo
1998,18,judo
1999,19,judo
2000,59,judo
2001,31,judo
2002,20,judo
2003,20,judo
2004,51,judo
2005,30,judo
2006,39,judo
2007,31,judo
2008,130,judo
2009,29,judo
2010,23,judo
2011,28,judo
2012,88,judo
2013,23,judo
2014,31,judo
2015,34,judo
2016,71,judo
2017,33,judo
2018,26,judo
2019,13,judo
2020,9,judo
1955,1,kabuki
1956,1,kabuki
1957,1,kabuki
1960,1,kabuki
1961,1,kabuki
1963,1,kabuki
1964,24,kabuki
1967,1,kabuki
1968,2,kabuki
1970,15,kabuki
1971,18,kabuki
1972,14,kabuki
1973,17,kabuki
1974,19,kabuki
1975,19,kabuki
1976,27,kabuki
1977,33,kabuki
1978,23,kabuki
1979,57,kabuki
1981,44,kabuki
1982,65,kabuki
1983,31,kabuki
1984,72,kabuki
1985,48,kabuki
1986,50,kabuki
1987,31,kabuki
1988,39,kabuki
1989,47,kabuki
1990,31,kabuki
1991,34,kabuki
1992,32,kabuki
1993,41,kabuki
1994,36,kabuki
1995,34,kabuki
1996,29,kabuki
1997,20,kabuki
1998,50,kabuki
1999,69,kabuki
2000,36,kabuki
2001,53,kabuki
2002,50,kabuki
2003,43,kabuki
2004,49,kabuki
2005,59,kabuki
2006,92,kabuki
2007,43,kabuki
2008,47,kabuki
2009,48,kabuki
2010,43,kabuki
2011,26,kabuki
2012,39,kabuki
2013,44,kabuki
2014,42,kabuki
2015,36,kabuki
2016,31,kabuki
2017,37,kabuki
2018,41,kabuki
2019,16,kabuki
1955,1,shogun
1958,1,shogun
1963,1,shogun
1964,3,shogun
1970,2,shogun
1971,4,shogun
1972,1,shogun
1973,2,shogun
1974,6,shogun
1975,32,shogun
1976,18,shogun
1977,5,shogun
1978,6,shogun
1979,8,shogun
1980,1,shogun
1981,33,shogun
1982,25,shogun
1983,31,shogun
1984,24,shogun
1985,24,shogun
1986,28,shogun
1987,21,shogun
1988,17,shogun
1989,18,shogun
1990,40,shogun
1991,31,shogun
1992,11,shogun
1993,18,shogun
1994,21,shogun
1995,6,shogun
1996,10,shogun
1997,10,shogun
1998,22,shogun
1999,9,shogun
2000,14,shogun
2001,11,shogun
2002,10,shogun
2003,12,shogun
2004,22,shogun
2005,16,shogun
2006,20,shogun
2007,7,shogun
2008,9,shogun
2009,12,shogun
2010,14,shogun
2011,6,shogun
2012,7,shogun
2013,7,shogun
2014,8,shogun
2015,8,shogun
2016,5,shogun
2017,5,shogun
2018,7,shogun
2019,7,shogun
1970,2,soba
1971,2,soba
1972,1,soba
1974,5,soba
1975,2,soba
1976,1,soba
1977,2,soba
1978,1,soba
1979,4,soba
1981,8,soba
1982,1,soba
1983,9,soba
1984,7,soba
1985,9,soba
1986,10,soba
1987,11,soba
1988,10,soba
1989,6,soba
1990,12,soba
1991,15,soba
1992,14,soba
1993,23,soba
1994,27,soba
1995,19,soba
1996,30,soba
1997,22,soba
1998,44,soba
1999,25,soba
2000,30,soba
2001,23,soba
2002,19,soba
2003,15,soba
2004,27,soba
2005,30,soba
2006,44,soba
2007,26,soba
2008,35,soba
2009,46,soba
2010,22,soba
2011,22,soba
2012,23,soba
2013,26,soba
2014,21,soba
2015,21,soba
2016,19,soba
2017,13,soba
2018,14,soba
2019,40,soba
1971,9,soy
1981,1,soy
1982,2,soy
1983,5,soy
1984,1,soy
1986,3,soy
1987,10,soy
1988,1,soy
1989,8,soy
1990,26,soy
1991,26,soy
1992,26,soy
1993,8,soy
1994,7,soy
1995,14,soy
1996,4,soy
1997,16,soy
1998,47,soy
1999,40,soy
2000,7,soy
2001,4,soy
2002,27,soy
2003,36,soy
2004,5,soy
2005,7,soy
2006,5,soy
2007,3,soy
2008,1,soy
2009,1,soy
2010,1,soy
2012,7,soy
2013,10,soy
2014,45,soy
2015,39,soy
2016,43,soy
2017,19,soy
2018,3,soy
2019,3,soy
1970,2,kawaii
1984,1,kawaii
1986,1,kawaii
1989,1,kawaii
1992,1,kawaii
1996,2,kawaii
1998,1,kawaii
1999,1,kawaii
2000,1,kawaii
