Category: All categories

Month,emoji: (Worldwide)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,0
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,0
2005-03,0
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,0
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,0
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,3
2012-01,3
2012-02,3
2012-03,3
2012-04,4
2012-05,4
2012-06,5
2012-07,5
2012-08,5
2012-09,6
2012-10,6
2012-11,7
2012-12,8
2013-01,8
2013-02,8
2013-03,8
2013-04,8
2013-05,12
2013-06,23
2013-07,16
2013-08,14
2013-09,13
2013-10,12
2013-11,13
2013-12,14
2014-01,20
2014-02,24
2014-03,46
2014-04,39
2014-05,25
2014-06,53
2014-07,100
2014-08,48
2014-09,33
2014-10,32
2014-11,35
2014-12,39
2015-01,35
2015-02,37
2015-03,38
2015-04,65
2015-05,52
2015-06,53
2015-07,52
2015-08,52
2015-09,59
2015-10,62
2015-11,58
2015-12,60
2016-01,57
2016-02,58
2016-03,59
2016-04,63
2016-05,64
2016-06,66
2016-07,65
2016-08,63
2016-09,65
2016-10,67
2016-11,67
2016-12,72
2017-01,69
2017-02,71
2017-03,70
2017-04,67
2017-05,66
2017-06,63
2017-07,81
2017-08,94
2017-09,76
2017-10,76
2017-11,75
2017-12,71
2018-01,65
2018-02,70
2018-03,66
2018-04,63
2018-05,62
2018-06,64
2018-07,63
2018-08,59
2018-09,62
2018-10,64
2018-11,63
2018-12,62
2019-01,61
2019-02,68
2019-03,61
2019-04,60
2019-05,60
2019-06,63
2019-07,64
2019-08,61
2019-09,66
2019-10,73
2019-11,67
2019-12,65
2020-01,65
2020-02,71
2020-03,71
