Category: All categories

Month,kawaii: (Worldwide)
2004-01,12
2004-02,11
2004-03,11
2004-04,11
2004-05,10
2004-06,11
2004-07,13
2004-08,13
2004-09,10
2004-10,9
2004-11,10
2004-12,10
2005-01,9
2005-02,11
2005-03,11
2005-04,10
2005-05,11
2005-06,12
2005-07,11
2005-08,12
2005-09,11
2005-10,10
2005-11,10
2005-12,11
2006-01,11
2006-02,10
2006-03,8
2006-04,11
2006-05,9
2006-06,10
2006-07,10
2006-08,10
2006-09,11
2006-10,11
2006-11,10
2006-12,11
2007-01,11
2007-02,11
2007-03,13
2007-04,13
2007-05,12
2007-06,13
2007-07,14
2007-08,14
2007-09,12
2007-10,14
2007-11,14
2007-12,14
2008-01,14
2008-02,14
2008-03,14
2008-04,16
2008-05,17
2008-06,16
2008-07,17
2008-08,18
2008-09,17
2008-10,17
2008-11,17
2008-12,18
2009-01,18
2009-02,17
2009-03,18
2009-04,19
2009-05,19
2009-06,18
2009-07,19
2009-08,21
2009-09,18
2009-10,17
2009-11,17
2009-12,18
2010-01,19
2010-02,19
2010-03,18
2010-04,20
2010-05,20
2010-06,19
2010-07,19
2010-08,19
2010-09,17
2010-10,24
2010-11,24
2010-12,24
2011-01,22
2011-02,21
2011-03,21
2011-04,22
2011-05,20
2011-06,21
2011-07,21
2011-08,24
2011-09,22
2011-10,22
2011-11,23
2011-12,25
2012-01,26
2012-02,27
2012-03,27
2012-04,28
2012-05,27
2012-06,29
2012-07,31
2012-08,33
2012-09,31
2012-10,29
2012-11,29
2012-12,31
2013-01,32
2013-02,32
2013-03,34
2013-04,38
2013-05,39
2013-06,42
2013-07,42
2013-08,43
2013-09,39
2013-10,35
2013-11,37
2013-12,38
2014-01,38
2014-02,37
2014-03,42
2014-04,44
2014-05,45
2014-06,46
2014-07,55
2014-08,49
2014-09,44
2014-10,43
2014-11,46
2014-12,48
2015-01,50
2015-02,53
2015-03,53
2015-04,53
2015-05,56
2015-06,56
2015-07,59
2015-08,63
2015-09,59
2015-10,58
2015-11,61
2015-12,65
2016-01,65
2016-02,67
2016-03,67
2016-04,70
2016-05,72
2016-06,73
2016-07,77
2016-08,71
2016-09,70
2016-10,69
2016-11,69
2016-12,75
2017-01,76
2017-02,80
2017-03,80
2017-04,83
2017-05,79
2017-06,81
2017-07,83
2017-08,83
2017-09,83
2017-10,87
2017-11,89
2017-12,100
2018-01,89
2018-02,92
2018-03,91
2018-04,91
2018-05,91
2018-06,92
2018-07,88
2018-08,86
2018-09,84
2018-10,81
2018-11,83
2018-12,82
2019-01,78
2019-02,79
2019-03,77
2019-04,76
2019-05,77
2019-06,82
2019-07,81
2019-08,78
2019-09,76
2019-10,75
2019-11,75
2019-12,77
2020-01,75
2020-02,83
2020-03,91
