Category: All categories

Month,ramen: (Worldwide)
2004-01,11
2004-02,9
2004-03,9
2004-04,10
2004-05,11
2004-06,10
2004-07,10
2004-08,11
2004-09,11
2004-10,11
2004-11,12
2004-12,11
2005-01,11
2005-02,11
2005-03,10
2005-04,10
2005-05,12
2005-06,11
2005-07,12
2005-08,13
2005-09,13
2005-10,12
2005-11,11
2005-12,11
2006-01,14
2006-02,12
2006-03,12
2006-04,14
2006-05,13
2006-06,12
2006-07,12
2006-08,14
2006-09,12
2006-10,11
2006-11,12
2006-12,12
2007-01,14
2007-02,14
2007-03,12
2007-04,12
2007-05,13
2007-06,14
2007-07,13
2007-08,13
2007-09,13
2007-10,13
2007-11,13
2007-12,13
2008-01,15
2008-02,14
2008-03,14
2008-04,14
2008-05,14
2008-06,15
2008-07,15
2008-08,16
2008-09,15
2008-10,14
2008-11,14
2008-12,14
2009-01,15
2009-02,15
2009-03,16
2009-04,16
2009-05,17
2009-06,16
2009-07,17
2009-08,18
2009-09,18
2009-10,16
2009-11,16
2009-12,17
2010-01,18
2010-02,18
2010-03,17
2010-04,18
2010-05,18
2010-06,17
2010-07,19
2010-08,19
2010-09,18
2010-10,18
2010-11,18
2010-12,17
2011-01,18
2011-02,18
2011-03,18
2011-04,18
2011-05,19
2011-06,20
2011-07,21
2011-08,23
2011-09,21
2011-10,20
2011-11,22
2011-12,22
2012-01,23
2012-02,22
2012-03,21
2012-04,21
2012-05,21
2012-06,27
2012-07,23
2012-08,27
2012-09,25
2012-10,23
2012-11,24
2012-12,24
2013-01,27
2013-02,25
2013-03,25
2013-04,26
2013-05,25
2013-06,26
2013-07,28
2013-08,34
2013-09,32
2013-10,31
2013-11,30
2013-12,29
2014-01,33
2014-02,31
2014-03,32
2014-04,31
2014-05,31
2014-06,31
2014-07,37
2014-08,38
2014-09,37
2014-10,35
2014-11,36
2014-12,35
2015-01,41
2015-02,38
2015-03,39
2015-04,37
2015-05,38
2015-06,38
2015-07,41
2015-08,40
2015-09,40
2015-10,40
2015-11,42
2015-12,44
2016-01,50
2016-02,47
2016-03,46
2016-04,47
2016-05,46
2016-06,47
2016-07,48
2016-08,51
2016-09,52
2016-10,54
2016-11,55
2016-12,55
2017-01,60
2017-02,58
2017-03,59
2017-04,59
2017-05,55
2017-06,57
2017-07,62
2017-08,63
2017-09,64
2017-10,69
2017-11,71
2017-12,72
2018-01,80
2018-02,74
2018-03,75
2018-04,71
2018-05,66
2018-06,69
2018-07,70
2018-08,76
2018-09,76
2018-10,77
2018-11,80
2018-12,81
2019-01,86
2019-02,82
2019-03,80
2019-04,76
2019-05,77
2019-06,80
2019-07,76
2019-08,81
2019-09,80
2019-10,88
2019-11,92
2019-12,96
2020-01,100
2020-02,91
2020-03,80
