Category: All categories

Week,emoji: (Worldwide)
2015-01-04,43
2015-01-11,41
2015-01-18,39
2015-01-25,39
2015-02-01,40
2015-02-08,41
2015-02-15,42
2015-02-22,45
2015-03-01,41
2015-03-08,43
2015-03-15,45
2015-03-22,46
2015-03-29,48
2015-04-05,100
2015-04-12,81
2015-04-19,68
2015-04-26,65
2015-05-03,60
2015-05-10,60
2015-05-17,59
2015-05-24,61
2015-05-31,62
2015-06-07,61
2015-06-14,61
2015-06-21,65
2015-06-28,62
2015-07-05,63
2015-07-12,60
2015-07-19,59
2015-07-26,60
2015-08-02,61
2015-08-09,60
2015-08-16,60
2015-08-23,61
2015-08-30,58
2015-09-06,58
2015-09-13,65
2015-09-20,77
2015-09-27,81
2015-10-04,66
2015-10-11,65
2015-10-18,77
2015-10-25,75
2015-11-01,65
2015-11-08,66
2015-11-15,67
2015-11-22,65
2015-11-29,64
2015-12-06,66
2015-12-13,68
2015-12-20,79
2015-12-27,74
