Category: All categories

Country,kawaii: (2015)
Chile,100
Mexico,55
Guam,
El Salvador,42
Costa Rica,38
Argentina,38
Puerto Rico,38
Brunei,
Uruguay,37
Malaysia,36
Peru,34
Honduras,31
Guatemala,30
Nicaragua,
Paraguay,28
Panama,27
Philippines,26
French Polynesia,
Spain,25
Ecuador,24
Venezuela,24
Colombia,22
Sweden,20
Maldives,
United States,19
Singapore,19
Canada,18
Réunion,
Australia,17
Cayman Islands,
New Zealand,17
Dominican Republic,15
Norway,15
Bolivia,15
France,14
Italy,14
French Guiana,
Martinique,
Finland,13
Denmark,13
Iceland,
Hong Kong,12
Indonesia,12
Andorra,
Bahamas,
Myanmar (Burma),
Bahrain,
United Kingdom,11
Portugal,11
Trinidad & Tobago,
Brazil,10
New Caledonia,
Lithuania,10
Malta,
Mongolia,
Netherlands,9
Jersey,
Estonia,
Mauritius,
Guadeloupe,
Poland,9
Hungary,8
Vietnam,8
Japan,8
United Arab Emirates,8
Laos,
Latvia,
Ireland,8
Belgium,8
Switzerland,8
Thailand,8
Luxembourg,
Macao,
Kuwait,
Austria,7
Czechia,7
Germany,7
Romania,7
Qatar,
Isle of Man,
Slovenia,
Cambodia,
Montenegro,
Cuba,
Croatia,
Slovakia,
Bulgaria,5
Serbia,5
Jamaica,
Bosnia & Herzegovina,
Oman,
Saudi Arabia,5
Libya,
Madagascar,
Tunisia,
Israel,5
Albania,
Nepal,
Algeria,4
Cyprus,
South Korea,4
Morocco,
Lebanon,
Gabon,
Greece,4
St. Helena,
Georgia,
North Macedonia,
China,
Taiwan,3
Bangladesh,
Russia,3
Jordan,
South Africa,3
Palestine,
Syria,
Turkey,2
Côte d’Ivoire,
Cameroon,
Belarus,
Iraq,
Sri Lanka,
Kyrgyzstan,
Senegal,
Pakistan,
Moldova,
Kazakhstan,
India,2
Armenia,
Egypt,
Angola,
Azerbaijan,
Ukraine,
Kosovo,
Kenya,
Iran,
Uzbekistan,
Ghana,
Nigeria,
Palau,
Micronesia,
Northern Mariana Islands,
Turks & Caicos Islands,
U.S. Virgin Islands,
Anguilla,
St. Kitts & Nevis,
Caribbean Netherlands,
Åland Islands,
Belize,
St. Martin,
Guernsey,
San Marino,
British Virgin Islands,
Faroe Islands,
Aruba,
Equatorial Guinea,
Bhutan,
St. Barthélemy,
Grenada,
Gibraltar,
Seychelles,
Monaco,
Mayotte,
Dominica,
Liechtenstein,
Bermuda,
Sint Maarten,
Barbados,
Eswatini,
Curaçao,
St. Vincent & Grenadines,
St. Lucia,
Suriname,
Niger,
Djibouti,
Turkmenistan,
Cape Verde,
Burkina Faso,
Papua New Guinea,
Somalia,
Guyana,
Fiji,
Namibia,
Botswana,
Guinea,
Tajikistan,
Mozambique,
Rwanda,
Mali,
Afghanistan,
Yemen,
Congo - Kinshasa,
Sudan,
Zimbabwe,
Uganda,
Ethiopia,
Tanzania,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Gambia,
Guinea-Bissau,
Greenland,
Heard & McDonald Islands,
Haiti,
British Indian Ocean Territory,
Kiribati,
Liberia,
Lesotho,
Marshall Islands,
Mauritania,
Montserrat,
Malawi,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Chad,
Togo,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Vanuatu,
Wallis & Futuna,
Samoa,
Zambia,
