key,value,category
Angola,383570.347,2
Argentina,2004037.238,2
Australia,2742652.749,1
Bahamas,199667.886,2
Bangladesh,100703.076,2
Barbados,67616.076,2
Benin,6216.133,2
Cabo Verde,1490582.553,2
Canada,1076393.902,1
China,88737.708,2
Cote d'Ivoire,39818.82,2
Cuba,1586.928,2
Denmark,874312.702,1
Federated States of Micronesia,142385.443,2
Fiji,15472.539,2
France,4063790.492,1
Gabon,38044.9,2
Ghana,21437.319,2
Guinea,1490582.553,2
Guinea-Bissau,1490582.553,2
Guyana,56869.762,2
Iceland,688227.718,1
India,688458.454,2
Indonesia,199953.514,2
Ireland,37175.658,1
Japan,439979.239,1
Kenya,93189.926,2
Kiribati,84955.7,2
Liberia,72966.307,2
Madagascar,858729.843,2
Malaysia,146721.601,2
Maldives,158937.822,2
Mauritania,1490582.553,2
Mauritius,675140.465,2
Mexico,23971.677,2
Micronesia,177623.205,2
Mozambique,107080.208,2
Myanmar,145172.132,2
Namibia,1058227.666,2
New Zealand,519712.249,2
Nicaragua,169705.8,2
Nigeria,18870.824,2
Norway,767990.726,1
Oman,278542.776,2
Pakistan,55560.527,2
Palau,243411.183,2
Papua New Guinea,177623.205,2
Philippines,133803.918,2
Portugal,3304794.447,1
Republic of Korea,19508.907,2
Senegal,1490582.553,2
Seychelles,412698.792,2
Sierra Leone,1490582.553,2
Solomon Islands,177623.205,2
Somalia,502505.318,2
South Africa,4155080.786,2
Spain,417099.608,1
Sri Lanka,1701667.291,2
Suriname,83387.324,2
The Cook Islands,407157.52,2
The Gambia,1490582.553,2
Togo,6216.133,2
Tonga,102592.158,2
Trinidad and Tobago,133137.362,2
Tuvalu,21344.109,2
United Kingdom of Great Britain and Northern Ireland,2536696.562,1
United Republic of Tanzania,59767.996,2
Uruguay,89552.684,2
Viet Nam,116801.048,2
Yemen,127170.164,2
,,
,,
